size,time,flops,add,mul
1,0.000020,1,0,1
2,0.000003,25,18,7
3,0.000100,58,32,26
4,0.000011,247,198,49
5,0.000013,360,250,110
6,0.000018,568,386,182
7,0.000021,809,500,309
8,0.000114,2017,1674,343
9,0.000088,2434,1874,560
10,0.000102,2970,2200,770
11,0.000082,3611,2510,1101
12,0.000117,4624,3350,1274
13,0.000121,5537,3794,1743
14,0.000122,6545,4382,2163
15,0.000133,7778,4984,2794
16,0.000443,15271,12870,2401
17,0.000430,16872,13654,3218
18,0.000443,18496,14576,3920
19,0.000476,20513,15566,4947
20,0.000951,22590,17200,5390
21,0.000721,25071,18420,6651
22,0.000544,27455,19748,7707
23,0.000545,30448,21222,9226
24,0.000828,34960,26042,8918
25,0.001018,38513,27794,10719
26,0.000842,41801,29600,12201
27,0.000777,45962,31654,14308
28,0.001275,49343,34202,15141
29,0.001193,54160,36582,17578
30,0.001147,58496,38938,19558
31,0.001150,64017,41668,22349
32,0.003593,111505,94698,16807
33,0.003602,117778,97802,19976
34,0.003665,123306,100780,22526
35,0.003289,130379,104282,26097
36,0.003538,135304,107864,27440
37,0.003589,143225,111788,31437
38,0.003920,150089,115460,34629
39,0.004047,158906,119830,39076
40,0.004508,165330,127600,37730
41,0.003787,175091,132440,42651
42,0.004612,183435,136878,46557
43,0.004317,194188,142212,51976
44,0.004735,200897,146948,53949
45,0.004516,212690,152800,59890
46,0.004413,222658,158076,64582
47,0.004817,235539,164470,71069
48,0.006109,255088,192662,62426
49,0.006771,269105,199622,69483
50,0.006488,280841,205808,75033
51,0.007132,296042,213358,82684
52,0.006495,304775,219368,85407
53,0.006687,321208,227532,93676
54,0.007008,334856,234700,100156
55,0.007566,352569,243502,109067
56,0.007618,359513,253526,105987
57,0.007095,378554,262990,115564
58,0.007704,394258,271212,123046
59,0.007483,414675,281362,133313
60,0.007648,425672,288766,136906
61,0.008302,447513,299626,147887
62,0.007628,465417,308974,156443
63,0.008386,488730,320568,168162
64,0.025384,798967,681318,117649
65,0.025345,823800,693670,130130
66,0.026479,844048,704216,139832
67,0.025519,870449,717350,153099
68,0.024477,883950,726268,157682
69,0.026404,911967,740208,171759
70,0.026301,934703,752024,182679
71,0.025146,964384,766794,197590
72,0.026618,970456,778376,192080
73,0.026920,1001849,794000,207849
74,0.026162,1027217,807158,220059
75,0.026449,1060370,823660,236710
76,0.026620,1076615,834212,242403
77,0.027445,1111576,851616,259960
78,0.027382,1139720,866188,273532
79,0.026527,1176537,884518,292019
80,0.030354,1186110,922000,264110
81,0.029338,1224831,941280,283551
82,0.029017,1255895,957338,298557
83,0.029780,1296568,977592,318976
84,0.030586,1315797,989898,325899
85,0.031914,1358470,1011150,347320
86,0.031088,1392598,1028766,363832
87,0.031184,1437319,1051040,386279
88,0.030146,1441127,1063484,377643
89,0.031394,1487944,1086804,401140
90,0.030328,1525280,1106050,419230
91,0.032335,1574241,1130440,443801
92,0.031860,1596694,1144620,452074
93,0.032455,1647847,1170104,477743
94,0.032042,1688535,1191052,497483
95,0.033518,1741928,1217654,524274
96,0.045746,1827088,1390106,436982
97,0.046945,1882769,1417850,464919
98,0.047218,1926953,1440572,486381
99,0.045919,1984970,1469482,515488
100,0.047086,2010887,1485656,525231
101,0.047765,2071288,1515756,555532
102,0.046729,2119112,1540324,578788
103,0.048540,2181945,1571638,610307
104,0.048618,2182097,1584248,597849
105,0.049700,2247410,1616800,630610
106,0.048304,2299018,1643286,655732
107,0.049122,2366859,1677100,689759
108,0.050192,2396480,1695388,701092
109,0.048316,2466897,1730488,736409
110,0.049707,2522433,1758964,763469
111,0.049716,2595474,1795374,800100
112,0.053922,2573039,1831130,741909
113,0.052404,2648752,1868874,779878
114,0.054510,2708360,1899412,808948
115,0.054190,2786793,1938514,848279
116,0.054049,2820358,1959036,861322
117,0.054320,2901559,1999520,902039
118,0.054606,2965383,2032192,933191
119,0.056113,3049400,2074082,975318
120,0.055291,3044504,2086162,958342
121,0.056659,3131385,2129482,1001903
122,0.056193,3199569,2164360,1035209
123,0.056950,3289362,2209134,1080228
124,0.056142,3327111,2232010,1095101
125,0.056974,3419864,2278262,1141602
126,0.057898,3492552,2315418,1177134
127,0.058178,3588313,2363172,1225141
128,0.174867,5666497,4842954,823543
129,0.180433,5765314,4892234,873080
130,0.179410,5842650,4931740,910910
131,0.180560,5944571,4982570,962001
132,0.180673,5986744,5007920,978824
133,0.181292,6091817,5060324,1031493
134,0.182219,6173945,5102252,1071693
135,0.183178,6282218,5156254,1125964
136,0.184723,6270882,5167108,1103774
137,0.183394,6382403,5222732,1159671
138,0.182758,6469467,5267154,1202313
139,0.184580,6584284,5324424,1259860
140,0.184445,6631121,5352368,1278753
141,0.183027,6749282,5411308,1337974
142,0.186510,6841426,5458296,1383130
143,0.184579,6962979,5518930,1444049
144,0.190941,6886504,5541944,1344560
145,0.193282,7011497,5604296,1407201
146,0.192299,7108865,5653922,1454943
147,0.193574,7237346,5718016,1519330
148,0.197886,7289087,5748674,1540413
149,0.192918,7421104,5814534,1606570
150,0.196113,7523840,5866870,1656970
151,0.196534,7659441,5934520,1724921
152,0.197666,7640273,5943452,1696821
153,0.196935,7779506,6012916,1766590
154,0.201404,7887754,6068034,1819720
155,0.197278,8030667,6139336,1891331
156,0.199543,8087552,6172828,1914724
157,0.209608,8234193,6245992,1988201
158,0.201984,8348097,6303964,2044133
159,0.204752,8498514,6379014,2119500
160,0.219138,8417970,6569200,1848770
161,0.217838,8572211,6646160,1926051
162,0.222252,8691915,6707058,1984857
163,0.223081,8850028,6785952,2064076
164,0.220726,8912297,6822398,2089899
165,0.218696,9074330,6903250,2171080
166,0.221051,9199978,6967146,2232832
167,0.225147,9365979,7049980,2315999
168,0.222117,9337587,7056294,2281293
169,0.226693,9507604,7141134,2366470
170,0.229816,9639340,7208100,2431240
171,0.232496,9813421,7294970,2518451
172,0.237496,9881314,7334490,2546824
173,0.280461,10059507,7423414,2636093
174,0.232980,10197475,7493522,2703953
175,0.233570,10379828,7584524,2795304
176,0.230652,10227281,7583780,2643501
177,0.233398,10413842,7676884,2736958
178,0.234382,10558186,7750206,2807980
179,0.243318,10749003,7845436,2903567
180,0.247640,10822760,7888150,2934610
181,0.252302,11017881,7985530,3032351
182,0.245742,11168745,8062138,3106607
183,0.241921,11368218,8161692,3206526
184,0.236529,11329210,8164692,3164518
185,0.235952,11533083,8266444,3266639
186,0.233902,11690611,8346410,3344201
187,0.240579,11898932,8450384,3448548
188,0.235492,11978793,8496412,3482381
189,0.233925,12191610,8602632,3588978
190,0.240058,12355946,8686028,3669918
191,0.243613,12573307,8794518,3778789
192,0.330391,12955504,9896630,3058874
193,0.334415,13177457,10007414,3170043
194,0.336115,13348745,10094312,3254433
195,0.339388,13575338,10207414,3367924
196,0.334966,13661543,10256876,3404667
197,0.338949,13892824,10372320,3520504
198,0.342884,14071208,10462792,3608416
199,0.354473,14307225,10580602,3726623
200,0.385049,14256209,10579592,3676617
201,0.342275,14497010,10699792,3797218
202,0.343834,14682634,10793910,3888724
203,0.344931,14928267,10916524,4011743
204,0.341973,15021056,10969540,4051516
205,0.347441,15271569,11094592,4176977
206,0.348026,15464577,11192428,4272149
207,0.353901,15720018,11319942,4400076
208,0.474816,15469367,11284424,4184943
209,0.361575,15729784,11414424,4315360
210,0.362508,15930320,11516050,4414270
211,0.356091,16195761,11648560,4547201
212,0.364519,16295374,11705250,4590124
213,0.379727,16565887,11840294,4725593
214,0.364903,16774095,11945782,4828313
215,0.368015,17049728,12083384,4966344
216,0.371846,16985312,12077668,4907644
217,0.364003,17266113,12217852,5048261
218,0.363353,17482137,12327274,5154863
219,0.366995,17768154,12470064,5298090
220,0.363878,17874831,12530548,5344283
221,0.365404,18166112,12675968,5490144
222,0.367985,18390096,12789396,5600700
223,0.368123,18686689,12937470,5749219
224,0.383790,18237065,13043702,5193363
225,0.406201,18539018,13194454,5344564
226,0.388688,18771106,13311960,5459146
227,0.389916,19078467,13465414,5613053
228,0.390815,19192448,13529812,5662636
229,0.392066,19505265,13685992,5819273
230,0.398720,19745601,13807648,5937953
231,0.430847,20063922,13966578,6097344
232,0.475754,19984714,13955460,6029254
233,0.404575,20308587,14117164,6191423
234,0.433973,20557315,14243042,6314273
235,0.403658,20886788,14407544,6479244
236,0.405405,21008313,14475976,6532337
237,0.400868,21343434,14643300,6700134
238,0.398049,21600698,14773472,6827226
239,0.398130,21941515,14943642,6997873
240,0.410147,21570728,14862334,6708394
241,0.411735,21917289,15035374,6881915
242,0.409098,22183233,15169912,7013321
243,0.408636,22535586,15345846,7189740
244,0.425990,22664895,15418432,7246463
245,0.432023,23023088,15597284,7425804
246,0.427845,23297856,15736260,7561596
247,0.426401,23661937,15918054,7743883
248,0.430865,23566545,15900838,7665707
249,0.449013,23936562,16085598,7850964
250,0.447879,24220298,16229084,7991214
251,0.439210,24596299,16416834,8179465
252,0.422974,24733632,16493694,8239938
253,0.435514,25115665,16684458,8431207
254,0.429579,25408513,16832526,8575987
255,0.432287,25796626,17026328,8770298
256,1.349408,39960391,34195590,5764801
257,1.353524,40354632,34392454,5962178
258,1.316540,40656736,34545176,6111560
259,1.608985,41057153,34745126,6312027
260,1.561080,41202750,34826380,6376370
261,1.341197,41609391,35029440,6579951
262,1.319836,41920895,35186888,6734007
263,1.411614,42333808,35393082,6940726
264,1.323669,42220840,35369072,6851768
265,1.332392,42640073,35578424,7061649
266,1.326641,42961121,35740670,7220451
267,1.324448,43386722,35953204,7433518
268,1.516945,43540823,36038972,7501851
269,1.533971,43972840,36254712,7718128
270,1.308767,44303576,36421828,7881748
271,1.296915,44742057,36640798,8101259
272,1.340433,44229102,36502684,7726418
273,1.348503,44674095,36724908,7949187
274,1.466396,45014663,36896966,8117697
275,1.301954,45466216,37122468,8343748
276,1.340963,45629061,37212870,8416191
277,1.335370,46087222,37441674,8645548
278,1.327504,46437766,37618746,8819020
279,1.431363,46902583,37850876,9051707
280,1.396277,46770647,37819376,8951271
281,1.387660,47242168,38054856,9187312
282,1.361860,47602832,38237014,9365818
283,1.319520,48081105,38475868,9605237
284,1.346553,48252934,38571024,9681910
285,1.403485,48738007,38813276,9924731
286,1.330351,49108935,39000592,10108343
287,1.347230,49600856,39246266,10354590
288,1.510824,48578776,39166856,9411920
289,1.395957,49077593,39415976,9661617
290,1.372510,49458929,39608522,9850407
291,1.357350,49964690,39861112,10103578
292,1.376658,50145743,39961142,10184601
293,1.374776,50658496,40217226,10441270
294,1.359013,51050384,40415074,10635310
295,1.349533,51570177,40674676,10895501
296,1.434860,51417881,40634990,10782891
297,1.380619,51944762,40898134,11046628
298,1.369493,52347346,41101356,11245990
299,1.389579,52881363,41368066,11513297
300,1.387432,53071880,41473090,11598790
301,1.505606,53613081,41743390,11869691
302,1.380219,54026505,41952058,12074447
303,1.355130,54574938,42225972,12348966
304,1.459262,53897783,42020036,11877747
305,1.438165,54453496,42297588,12155908
306,1.399883,54877904,42511774,12366130
307,1.435858,55440945,42792988,12647957
308,1.529825,55641166,42903126,12738040
309,1.547800,56211583,43188026,13023557
310,1.533555,56647119,43407802,13239317
311,1.366685,57224960,43696412,13528548
312,1.423736,57050912,43647844,13403068
313,1.454547,57636225,43940188,13696037
314,1.403557,58083033,44165626,13917407
315,1.391009,58675866,44461728,14214138
316,1.461271,58886031,44577100,14308931
317,1.405793,59486432,44876984,14609448
318,1.381144,59944656,45108156,14836500
319,1.430160,60552673,45411846,15140827
320,1.557213,59386590,46445200,12941390
321,1.527825,60002271,46752720,13249551
322,1.514228,60472055,46989698,13482357
323,1.508348,61095448,47301072,13794376
324,1.660496,61315797,47421798,13893999
325,1.541618,61946950,47737050,14209900
326,1.511016,62428438,47979906,14448532
327,1.523410,63067399,48299060,14768339
328,1.579978,62870207,48240914,14629293
329,1.591994,63517024,48563994,14953030
330,1.572316,64010360,48812800,15197560
331,1.578405,64665081,49139830,15525251
332,1.539708,64895854,49266030,15629824
333,1.557061,65558527,49597034,15961493
334,1.596675,66063855,49851862,16211993
335,1.538434,66734528,50186864,16547664
336,1.594324,65871141,49902090,15969051
337,1.537984,66549862,50241114,16308748
338,1.509305,67067326,50502036,16565290
339,1.511750,67754143,50845106,16909037
