size,time,flops,add,mul
1,0.000021,1,0,1
2,0.000003,12,4,8
3,0.000006,45,18,27
4,0.000000,112,48,64
5,0.000002,225,100,125
6,0.000044,477,288,189
7,0.000059,718,402,316
8,0.000085,1072,624,448
9,0.000019,1489,824,665
10,0.000014,2025,1150,875
11,0.000017,2666,1460,1206
12,0.000051,3987,2664,1323
13,0.000073,4900,3108,1792
14,0.000056,5908,3696,2212
15,0.000099,7141,4298,2843
16,0.000044,8656,5520,3136
17,0.000045,10257,6304,3953
18,0.000075,11881,7226,4655
19,0.000087,13898,8216,5682
20,0.000053,15975,9850,6125
21,0.000071,18456,11070,7386
22,0.000053,20840,12398,8442
23,0.000084,23833,13872,9961
24,0.000091,30501,21240,9261
25,0.000090,34054,22992,11062
26,0.000086,37342,24798,12544
27,0.000197,41503,26852,14651
28,0.000120,44884,29400,15484
29,0.000137,49701,31780,17921
30,0.000127,54037,34136,19901
31,0.000250,59558,36866,22692
32,0.000152,65200,43248,21952
33,0.000149,71473,46352,25121
34,0.000149,77001,49330,27671
35,0.000212,84074,52832,31242
36,0.000207,88999,56414,32585
37,0.000213,96920,60338,36582
38,0.000200,103784,64010,39774
39,0.000302,112601,68380,44221
40,0.000264,119025,76150,42875
41,0.000272,128786,80990,47796
42,0.000255,137130,85428,51702
43,0.000323,147883,90762,57121
44,0.000306,154592,95498,59094
45,0.000314,166385,101350,65035
46,0.000323,176353,106626,69727
47,0.000455,189234,113020,76214
48,0.000454,223875,159048,64827
49,0.000438,237892,166008,71884
50,0.000446,249628,172194,77434
51,0.000559,264829,179744,85085
52,0.000505,273562,185754,87808
53,0.000540,289995,193918,96077
54,0.000605,303643,201086,102557
55,0.000850,321356,209888,111468
56,0.000650,328300,219912,108388
57,0.000647,347341,229376,117965
58,0.000640,363045,237598,125447
59,0.000845,383462,247748,135714
60,0.000734,394459,255152,139307
61,0.000809,416300,266012,150288
62,0.000779,434204,275360,158844
63,0.001443,457517,286954,170563
64,0.000887,474832,321168,153664
65,0.000896,499665,333520,166145
66,0.001077,519913,344066,175847
67,0.001170,546314,357200,189114
68,0.001006,559815,366118,193697
69,0.001114,587832,380058,207774
70,0.001110,610568,391874,218694
71,0.001190,640249,406644,233605
72,0.001603,646321,418226,228095
73,0.001389,677714,433850,243864
74,0.001284,703082,447008,256074
75,0.001464,736235,463510,272725
76,0.001381,752480,474062,278418
77,0.001592,787441,491466,295975
78,0.001866,815585,506038,309547
79,0.002289,852402,524368,328034
80,0.001899,861975,561850,300125
81,0.001632,900696,581130,319566
82,0.001622,931760,597188,334572
83,0.001770,972433,617442,354991
84,0.001972,991662,629748,361914
85,0.001842,1034335,651000,383335
86,0.001906,1068463,668616,399847
87,0.002471,1113184,690890,422294
88,0.002125,1116992,703334,413658
89,0.002071,1163809,726654,437155
90,0.002344,1201145,745900,455245
91,0.002535,1250106,770290,479816
92,0.002602,1272559,784470,488089
93,0.002814,1323712,809954,513758
94,0.002542,1364400,830902,533498
95,0.002892,1417793,857504,560289
96,0.003318,1608597,1154808,453789
97,0.003033,1664278,1182552,481726
98,0.003726,1708462,1205274,503188
99,0.003615,1766479,1234184,532295
100,0.003250,1792396,1250358,542038
101,0.003408,1852797,1280458,572339
102,0.003985,1900621,1305026,595595
103,0.003945,1963454,1336340,627114
104,0.003942,1963606,1348950,614656
105,0.003672,2028919,1381502,647417
106,0.003589,2080527,1407988,672539
107,0.004490,2148368,1441802,706566
108,0.003885,2177989,1460090,717899
109,0.004564,2248406,1495190,753216
110,0.004037,2303942,1523666,780276
111,0.004965,2376983,1560076,816907
112,0.004247,2354548,1595832,758716
113,0.004961,2430261,1633576,796685
114,0.004441,2489869,1664114,825755
115,0.005158,2568302,1703216,865086
116,0.004705,2601867,1723738,878129
117,0.005458,2683068,1764222,918846
118,0.004829,2746892,1796894,949998
119,0.005596,2830909,1838784,992125
120,0.005192,2826013,1850864,975149
121,0.005280,2912894,1894184,1018710
122,0.006145,2981078,1929062,1052016
123,0.006431,3070871,1973836,1097035
124,0.006189,3108620,1996712,1111908
125,0.006730,3201373,2042964,1158409
126,0.006622,3274061,2080120,1193941
127,0.007431,3369822,2127874,1241948
128,0.006920,3397552,2321904,1075648
129,0.006685,3496369,2371184,1125185
130,0.006458,3573705,2410690,1163015
131,0.007394,3675626,2461520,1214106
132,0.006686,3717799,2486870,1230929
133,0.006936,3822872,2539274,1283598
134,0.007598,3905000,2581202,1323798
135,0.008085,4013273,2635204,1378069
136,0.007743,4001937,2646058,1355879
137,0.007692,4113458,2701682,1411776
138,0.007370,4200522,2746104,1454418
139,0.008637,4315339,2803374,1511965
140,0.008561,4362176,2831318,1530858
141,0.008482,4480337,2890258,1590079
142,0.008994,4572481,2937246,1635235
143,0.009187,4694034,2997880,1696154
144,0.008459,4617559,3020894,1596665
145,0.008599,4742552,3083246,1659306
146,0.008520,4839920,3132872,1707048
147,0.009263,4968401,3196966,1771435
148,0.009993,5020142,3227624,1792518
149,0.009463,5152159,3293484,1858675
150,0.009402,5254895,3345820,1909075
151,0.009983,5390496,3413470,1977026
152,0.010596,5371328,3422402,1948926
153,0.010115,5510561,3491866,2018695
154,0.010200,5618809,3546984,2071825
155,0.011489,5761722,3618286,2143436
156,0.011476,5818607,3651778,2166829
157,0.011660,5965248,3724942,2240306
158,0.011614,6079152,3782914,2296238
159,0.012763,6229569,3857964,2371605
160,0.011308,6149025,4048150,2100875
161,0.011820,6303266,4125110,2178156
162,0.011371,6422970,4186008,2236962
163,0.012554,6581083,4264902,2316181
164,0.012611,6643352,4301348,2342004
165,0.012420,6805385,4382200,2423185
166,0.013334,6931033,4446096,2484937
167,0.014072,7097034,4528930,2568104
168,0.013564,7068642,4535244,2533398
169,0.013506,7238659,4620084,2618575
170,0.013904,7370395,4687050,2683345
171,0.014424,7544476,4773920,2770556
172,0.014784,7612369,4813440,2798929
173,0.014633,7790562,4902364,2888198
174,0.015615,7928530,4972472,2956058
175,0.015376,8110883,5063474,3047409
176,0.015479,7958336,5062730,2895606
177,0.015570,8144897,5155834,2989063
178,0.015944,8289241,5229156,3060085
179,0.016252,8480058,5324386,3155672
180,0.016095,8553815,5367100,3186715
181,0.015974,8748936,5464480,3284456
182,0.017338,8899800,5541088,3358712
183,0.017598,9099273,5640642,3458631
184,0.017721,9060265,5643642,3416623
185,0.017390,9264138,5745394,3518744
186,0.018620,9421666,5825360,3596306
187,0.018049,9629987,5929334,3700653
188,0.018867,9709848,5975362,3734486
189,0.019097,9922665,6081582,3841083
190,0.019555,10087001,6164978,3922023
191,0.020684,10304362,6273468,4030894
192,0.020540,11426067,8249544,3176523
193,0.021222,11648020,8360328,3287692
194,0.021035,11819308,8447226,3372082
195,0.021856,12045901,8560328,3485573
196,0.022328,12132106,8609790,3522316
197,0.022473,12363387,8725234,3638153
198,0.024112,12541771,8815706,3726065
199,0.024012,12777788,8933516,3844272
200,0.022467,12726772,8932506,3794266
201,0.023977,12967573,9052706,3914867
202,0.024523,13153197,9146824,4006373
203,0.024515,13398830,9269438,4129392
204,0.025369,13491619,9322454,4169165
205,0.026232,13742132,9447506,4294626
206,0.054781,13935140,9545342,4389798
207,0.029746,14190581,9672856,4517725
208,0.027933,13939930,9637338,4302592
209,0.029648,14200347,9767338,4433009
210,0.029687,14400883,9868964,4531919
211,0.029985,14666324,10001474,4664850
212,0.030323,14765937,10058164,4707773
213,0.028151,15036450,10193208,4843242
214,0.028264,15244658,10298696,4945962
215,0.030291,15520291,10436298,5083993
216,0.029185,15455875,10430582,5025293
217,0.030071,15736676,10570766,5165910
218,0.029760,15952700,10680188,5272512
219,0.032095,16238717,10822978,5415739
220,0.031873,16345394,10883462,5461932
221,0.031972,16636675,11028882,5607793
222,0.030957,16860659,11142310,5718349
223,0.034641,17157252,11290384,5866868
224,0.031854,16707628,11396616,5311012
225,0.031379,17009581,11547368,5462213
226,0.095345,17241669,11664874,5576795
227,0.033358,17549030,11818328,5730702
228,0.033164,17663011,11882726,5780285
229,0.034427,17975828,12038906,5936922
230,0.035138,18216164,12160562,6055602
231,0.034304,18534485,12319492,6214993
232,0.036033,18455277,12308374,6146903
233,0.035498,18779150,12470078,6309072
234,0.037506,19027878,12595956,6431922
235,0.037036,19357351,12760458,6596893
236,0.036649,19478876,12828890,6649986
237,0.037114,19813997,12996214,6817783
238,0.037600,20071261,13126386,6944875
239,0.040299,20412078,13296556,7115522
240,0.038422,20041291,13215248,6826043
241,0.037408,20387852,13388288,6999564
242,0.038756,20653796,13522826,7130970
243,0.040332,21006149,13698760,7307389
244,0.039016,21135458,13771346,7364112
245,0.041628,21493651,13950198,7543453
246,0.041999,21768419,14089174,7679245
247,0.042989,22132500,14270968,7861532
248,0.041776,22037108,14253752,7783356
249,0.042200,22407125,14438512,7968613
250,0.042659,22690861,14581998,8108863
251,0.043672,23066862,14769748,8297114
252,0.044714,23204195,14846608,8357587
253,0.045951,23586228,15037372,8548856
254,0.046655,23879076,15185440,8693636
255,0.048017,24267189,15379242,8887947
256,0.044209,24077776,16548240,7529536
257,0.044245,24472017,16745104,7726913
258,0.047298,24774121,16897826,7876295
259,0.045822,25174538,17097776,8076762
260,0.045467,25320135,17179030,8141105
261,0.046400,25726776,17382090,8344686
262,0.048255,26038280,17539538,8498742
263,0.048367,26451193,17745732,8705461
264,0.049453,26338225,17721722,8616503
265,0.049459,26757458,17931074,8826384
266,0.049631,27078506,18093320,8985186
267,0.051362,27504107,18305854,9198253
268,0.051120,27658208,18391622,9266586
269,0.051508,28090225,18607362,9482863
270,0.052911,28420961,18774478,9646483
271,0.054311,28859442,18993448,9865994
272,0.052852,28346487,18855334,9491153
273,0.053189,28791480,19077558,9713922
274,0.055070,29132048,19249616,9882432
275,0.054786,29583601,19475118,10108483
276,0.056352,29746446,19565520,10180926
277,0.056703,30204607,19794324,10410283
278,0.059765,30555151,19971396,10583755
279,0.058484,31019968,20203526,10816442
280,0.057619,30888032,20172026,10716006
281,0.057281,31359553,20407506,10952047
282,0.059394,31720217,20589664,11130553
283,0.059798,32198490,20828518,11369972
284,0.062642,32370319,20923674,11446645
285,0.062135,32855392,21165926,11689466
286,0.062572,33226320,21353242,11873078
287,0.065150,33718241,21598916,12119325
288,0.060569,32696161,21519506,11176655
289,0.062758,33194978,21768626,11426352
290,0.063336,33576314,21961172,11615142
291,0.062043,34082075,22213762,11868313
292,0.063837,34263128,22313792,11949336
293,0.066317,34775881,22569876,12206005
294,0.066612,35167769,22767724,12400045
295,0.070181,35687562,23027326,12660236
296,0.066391,35535266,22987640,12547626
297,0.066515,36062147,23250784,12811363
298,0.070304,36464731,23454006,13010725
299,0.068449,36998748,23720716,13278032
300,0.068046,37189265,23825740,13363525
301,0.071137,37730466,24096040,13634426
302,0.073289,38143890,24304708,13839182
303,0.074791,38692323,24578622,14113701
304,0.071120,38015168,24372686,13642482
305,0.070845,38570881,24650238,13920643
306,0.074215,38995289,24864424,14130865
307,0.074686,39558330,25145638,14412692
308,0.074842,39758551,25255776,14502775
309,0.077726,40328968,25540676,14788292
310,0.078838,40764504,25760452,15004052
311,0.080182,41342345,26049062,15293283
312,0.077143,41168297,26000494,15167803
313,0.079997,41753610,26292838,15460772
314,0.079646,42200418,26518276,15682142
315,0.080403,42793251,26814378,15978873
316,0.081628,43003416,26929750,16073666
317,0.084325,43603817,27229634,16374183
318,0.085720,44062041,27460806,16601235
319,0.087675,44670058,27764496,16905562
320,0.083100,43503975,28797850,14706125
321,0.082675,44119656,29105370,15014286
322,0.083754,44589440,29342348,15247092
323,0.084362,45212833,29653722,15559111
324,0.083337,45433182,29774448,15658734
325,0.087950,46064335,30089700,15974635
326,0.086280,46545823,30332556,16213267
327,0.086803,47184784,30651710,16533074
328,0.088986,46987592,30593564,16394028
329,0.089175,47634409,30916644,16717765
330,0.090076,48127745,31165450,16962295
331,0.094501,48782466,31492480,17289986
332,0.094770,49013239,31618680,17394559
333,0.094656,49675912,31949684,17726228
334,0.094579,50181240,32204512,17976728
335,0.096713,50851913,32539514,18312399
336,0.097487,49988526,32254740,17733786
337,0.095665,50667247,32593764,18073483
338,0.098387,51184711,32854686,18330025
339,0.101221,51871528,33197756,18673772
340,0.102598,52112965,33329550,18783415
341,0.103092,52807926,33676690,19131236
342,0.102287,53337670,33943778,19393892
343,0.104817,54040823,34295012,19745811
344,0.102316,53819095,34226592,19592503
345,0.105044,54530488,34581944,19948544
346,0.104071,55072656,34855270,20217386
347,0.106134,55792337,35214764,20577573
348,0.108455,56044678,35352272,20692406
349,0.110370,56772695,35715932,21056763
350,0.108170,57327431,35995568,21331863
351,0.111333,58063832,36363418,21700414
352,0.105486,56265920,35996678,20269242
